,1d0,211,381,3e3,43d,4e6,53c,5c1,65b,67f,6b4,6cf,7a1,953,ae2,b23,c17,cce,dc5,f81
1d0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,1,0
211,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
381,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3e3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
43d,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,1,0
4e6,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1
53c,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
5c1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0
65b,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,1
67f,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0
6b4,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0
6cf,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7a1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0
953,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0
ae2,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,0,1
b23,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
c17,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1
cce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
dc5,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
f81,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1
